S_No,Year,Month,Product_ID,Country,Sales
79073,2016,4,1,Argentina,13458679.686699999
79074,2016,5,1,Argentina,13457493.663600000
79075,2016,6,1,Argentina,13457668.833400000
79076,2016,7,1,Argentina,14346839.951700000
79077,2016,8,1,Argentina,14346354.328100000
79078,2016,9,1,Argentina,14346427.037799999
79079,2016,10,1,Argentina,13732285.590399999
79080,2016,11,1,Argentina,13730737.321400000
79081,2016,12,1,Argentina,13457930.512399999
79082,2017,1,1,Argentina,14025125.831000000
79083,2017,2,1,Argentina,12263874.420700001
79084,2017,3,1,Argentina,13458903.625000000
79085,2016,4,2,Argentina,7360794.573700001
79086,2016,5,2,Argentina,7291896.110300001
79087,2016,6,2,Argentina,7291841.499400001
79088,2016,7,2,Argentina,7395408.664600003
79089,2016,8,2,Argentina,7163886.046500002
79090,2016,9,2,Argentina,7194528.028800003
79091,2016,10,2,Argentina,7475029.858000003
79092,2016,11,2,Argentina,7592933.417900001
79093,2016,12,2,Argentina,7029144.813700003
79094,2017,1,2,Argentina,7346609.882300002
79095,2017,2,2,Argentina,7238432.068500001
79096,2017,3,2,Argentina,7339867.981400001
79097,2017,1,3,Argentina,16260260.656300001
79098,2017,2,3,Argentina,16337600.552500000
79099,2017,3,3,Argentina,19677320.115400001
79100,2016,4,2,Belgium,1253280.141600000
79101,2016,5,2,Belgium,1207610.604000000
79102,2016,6,2,Belgium,1223232.482400000
79103,2016,7,2,Belgium,1345146.433900000
79104,2016,8,2,Belgium,1239344.066200000
79105,2016,9,2,Belgium,1071797.765200000
79106,2016,10,2,Belgium,1168001.216600000
79107,2016,11,2,Belgium,1291353.167600000
79108,2016,12,2,Belgium,1509119.492900000
79109,2017,1,2,Belgium,951103.045399999
79110,2017,2,2,Belgium,1063626.068900000
79111,2017,3,2,Belgium,1246998.816900000
79112,2016,4,1,Columbia,3339263.583300001
79113,2016,5,1,Columbia,3211218.994900000
79114,2016,6,1,Columbia,3405141.028000000
79115,2016,7,1,Columbia,3364463.854400001
79116,2016,8,1,Columbia,3095130.047600000
79117,2016,9,1,Columbia,3406300.498700000
79118,2016,10,1,Columbia,3554811.549800000
79119,2016,11,1,Columbia,3493310.517300001
79120,2016,12,1,Columbia,3488002.163500000
79121,2017,1,1,Columbia,3342401.778000001
79122,2017,2,1,Columbia,3494218.925400001
79123,2017,3,1,Columbia,3337229.136000000
79124,2016,4,2,Columbia,7074802.148900000
79125,2016,5,2,Columbia,6920265.017700000
79126,2016,6,2,Columbia,7095085.751200000
79127,2016,7,2,Columbia,7295129.168500000
79128,2016,8,2,Columbia,6927855.572000001
79129,2016,9,2,Columbia,7191085.903600000
79130,2016,10,2,Columbia,7091288.052300000
79131,2016,11,2,Columbia,7297299.048600000
79132,2016,12,2,Columbia,7248690.560900000
79133,2017,1,2,Columbia,7121922.274100000
79134,2017,2,2,Columbia,6647871.351700000
79135,2017,3,2,Columbia,7395895.804700000
79136,2017,1,3,Columbia,310148.369100000
79137,2017,2,3,Columbia,305271.806700000
79138,2017,3,3,Columbia,972782.829700000
79139,2016,4,2,Denmark,183770738.069600016
79140,2016,5,2,Denmark,186704070.817199975
79141,2016,6,2,Denmark,186559223.662899882
79142,2016,7,2,Denmark,180299410.400399923
79143,2016,8,2,Denmark,180727967.117699921
79144,2016,9,2,Denmark,182406475.308099955
79145,2016,10,2,Denmark,180142166.932399958
79146,2016,11,2,Denmark,183914775.460200042
79147,2016,12,2,Denmark,195254683.081900001
79148,2017,1,2,Denmark,141827122.369399995
79149,2017,2,2,Denmark,170893418.807999998
79150,2017,3,2,Denmark,187763077.390200049
79151,2015,11,5,England,648700.247200000
79152,2015,12,5,England,648652.431200000
79153,2016,1,5,England,595454.577700000
79154,2016,2,5,England,563899.746500000
79155,2016,3,5,England,630206.902600000
79156,2016,4,5,England,669463.420600000
79157,2016,5,5,England,582466.598200000
79158,2016,6,5,England,609499.630600000
79159,2016,7,5,England,706065.710000000
79160,2015,11,4,England,172507.285100000
79161,2015,12,4,England,187127.060700000
79162,2016,1,4,England,151909.058900000
79163,2016,2,4,England,139506.353700000
79164,2016,3,4,England,165741.173200000
79165,2016,4,4,England,174350.109800000
79166,2016,5,4,England,149587.188900000
79167,2016,6,4,England,169634.005300000
79168,2016,7,4,England,181827.728300000
79169,2015,11,4,Finland,30533759.635900002
79170,2015,12,4,Finland,29732105.740199987
79171,2016,1,4,Finland,28926088.014300004
79172,2016,2,4,Finland,41793067.646400012
79173,2016,3,4,Finland,19309264.615100008
79174,2016,4,4,Finland,26208450.803200010
79175,2016,5,4,Finland,27029052.760800011
79176,2016,6,4,Finland,29943389.115100011
79177,2016,7,4,Finland,29096296.384700000
